"item"	"group1"	"vars"	"n"	"mean"	"sd"	"median"	"trimmed"	"mad"	"min"	"max"	"range"	"skew"	"kurtosis"	"se"
"Nacetylglutamate1"	"4"	"ADI1x"	2	3	0.999066666666667	0.358878206406203	1.20592	0.999066666666667	0.001022994	0.58467	1.20661	0.62194	-0.384898578779897	-2.33333333333333	0.207198429074911
"Nacetylglutamate2"	"5"	"ADI2x"	2	3	0.376736666666667	0.078903995674068	0.38971	0.376736666666667	0.086939664	0.29215	0.44835	0.1562	-0.159974362384838	-2.33333333333333	0.04555524314256
"Nacetylglutamate3"	"6"	"Ctrl"	2	3	0.94601	0.098944374271608	0.96767	0.94601	0.095864916	0.83803	1.03233	0.1943	-0.208420238264743	-2.33333333333333	0.057125561120512
"Nacetylglutamine1"	"7"	"ADI1x"	3	3	1.07919666666667	0.255449770861775	1.10078	1.07919666666667	0.329715414	0.81364	1.32317	0.50953	-0.083888327173357	-2.33333333333333	0.147483993971474
"Nacetylglutamine2"	"8"	"ADI2x"	3	3	0.92855	0.124401914776261	0.98733	0.92855	0.037569084	0.78565	1.01267	0.22702	-0.367011674768526	-2.33333333333333	0.071823478983779
"Nacetylglutamine3"	"9"	"Ctrl"	3	3	1.09417	0.200005894163147	1.11944	1.09417	0.23855034	0.88273	1.28034	0.39761	-0.124329362649835	-2.33333333333333	0.115473456834605
"pyroglutamine*1"	"10"	"ADI1x"	4	3	0.89894	0.470968566573184	0.65051	0.89894	0.068659206	0.6042	1.44211	0.83791	0.380717751341889	-2.33333333333333	0.27191382869088
"pyroglutamine*2"	"11"	"ADI2x"	4	3	0.843133333333333	0.103391741610891	0.89127	0.843133333333333	0.033225066	0.72445	0.91368	0.18923	-0.364657116796152	-2.33333333333333	0.059693249851032
"pyroglutamine*3"	"12"	"Ctrl"	4	3	1.13672333333333	0.08081778537756	1.16344	1.13672333333333	0.055389936	1.04593	1.2008	0.15487	-0.29445254183777	-2.33333333333333	0.046660170143044
"NacetylaspartylglutamateNAAG1"	"13"	"ADI1x"	5	3	9.01674333333333	6.95346760081855	8.40212	9.01674333333333	8.912101338	2.39099	16.25712	13.86613	0.087700316600908	-2.33333333333333	4.01458639113393
"NacetylaspartylglutamateNAAG2"	"14"	"ADI2x"	5	3	0.539693333333333	0.188158452728899	0.43106	0.539693333333333	0	0.43106	0.75696	0.3259	0.38490017945975	-2.33333333333333	0.108633333333333
"NacetylaspartylglutamateNAAG3"	"15"	"Ctrl"	5	3	0.894953333333333	0.408800934604281	1	0.894953333333333	0.357276948	0.44388	1.24098	0.7971	-0.239995643437771	-2.33333333333333	0.236021329638752
"betacitrylglutamate1"	"16"	"ADI1x"	6	3	3.29468666666667	2.50694895979821	3.89769	3.29468666666667	2.29424937	0.54123	5.44514	4.90391	-0.226616488249246	-2.33333333333333	1.44738765678415
"betacitrylglutamate2"	"17"	"ADI2x"	6	3	1.44528	0.592164377432483	1.74718	1.44528	0.116339622	0.76301	1.82565	1.06264	-0.377310429880521	-2.33333333333333	0.341886262715151
"betacitrylglutamate3"	"18"	"Ctrl"	6	3	1.11754333333333	0.725897955799115	0.79338	1.11754333333333	0.271567842	0.61021	1.94904	1.33883	0.357512375368659	-2.33333333333333	0.419097380184818
"S1pyrroline5carboxylate1"	"19"	"ADI1x"	7	3	1.48345	0.638455120114171	1.27347	1.48345	0.440391504	0.97643	2.20045	1.22402	0.293312826850217	-2.33333333333333	0.368612235463411
"S1pyrroline5carboxylate2"	"20"	"ADI2x"	7	3	1.49126333333333	0.922882660002524	1.65819	1.49126333333333	0.98014686	0.49631	2.31929	1.82298	-0.174957795380347	-2.33333333333333	0.532826552182895
"S1pyrroline5carboxylate3"	"21"	"Ctrl"	7	3	1.7901	1.74939525610995	0.85766	1.7901	0.227149146	0.70445	3.80819	3.10374	0.381581604037686	-2.33333333333333	1.01001382203414
"histidine1"	"22"	"ADI1x"	8	3	0.9823	0.159402343771978	1.02078	0.9823	0.145532016	0.80718	1.11894	0.31176	-0.227334085574607	-2.33333333333333	0.092030986086209
"histidine2"	"23"	"ADI2x"	8	3	0.94693	0.093938207881564	0.89946	0.94693	0.019659276	0.8862	1.05513	0.16893	0.376290246737976	-2.33333333333333	0.054235249607612
"histidine3"	"24"	"Ctrl"	8	3	0.892763333333333	0.076805980452914	0.88064	0.892763333333333	0.08584254	0.82274	0.97491	0.15217	0.153911000084455	-2.33333333333333	0.044343953489863
"2hydroxy3methylvalerate1"	"25"	"ADI1x"	9	3	0.371556666666667	0.113603734240268	0.33948	0.371556666666667	0.091980504	0.27744	0.49775	0.22031	0.259844996752885	-2.33333333333333	0.065589146544565
"2hydroxy3methylvalerate2"	"26"	"ADI2x"	9	3	1.18857	0.582084107410604	1.40497	1.18857	0.335794074	0.52928	1.63146	1.10218	-0.320385161386805	-2.33333333333333	0.336066416104516
"2hydroxy3methylvalerate3"	"27"	"Ctrl"	9	3	1.84727	1.22374947942788	2.05355	1.84727	1.336148772	0.53349	2.95477	2.42128	-0.163774372322113	-2.33333333333333	0.706532091368349
"Smethylcysteine1"	"28"	"ADI1x"	10	3	1.05913333333333	0.252698660331497	1.16766	1.05913333333333	0.106421028	0.7703	1.23944	0.46914	-0.350256934604532	-2.33333333333333	0.145895639566248
"Smethylcysteine2"	"29"	"ADI2x"	10	3	0.875083333333333	0.170244874323233	0.95225	0.875083333333333	0.060534558	0.67992	0.99308	0.31316	-0.360143491915931	-2.33333333333333	0.098290924018672
"Smethylcysteine3"	"30"	"Ctrl"	10	3	0.953656666666667	0.080432133089539	0.99488	0.953656666666667	0.015181824	0.86097	1.00512	0.14415	-0.377893587799275	-2.33333333333333	0.046437513690741
"cysteinessulfate1"	"31"	"ADI1x"	11	3	0.982333333333333	0.095149399542684	0.93195	0.982333333333333	0.013313748	0.92297	1.09208	0.16911	0.381046834796264	-2.33333333333333	0.0549345314392
"cysteinessulfate2"	"32"	"ADI2x"	11	3	1.02295666666667	0.387292856419188	0.82525	1.02295666666667	0.075360558	0.77442	1.4692	0.69478	0.377454897477156	-2.33333333333333	0.223603634908837
"cysteinessulfate3"	"33"	"Ctrl"	11	3	0.42073	0	0.42073	0.42073	0	0.42073	0.42073	0	NA	NA	0
"cystine1"	"34"	"ADI1x"	12	3	1.20466	0.435661164553372	1.27005	1.20466	0.495010488	0.74	1.60393	0.86393	-0.146712379572185	-2.33333333333333	0.251529090630355
"cystine2"	"35"	"ADI2x"	12	3	0.371096666666667	0.074610975287375	0.32802	0.371096666666667	0	0.32802	0.45725	0.12923	0.384900179459751	-2.33333333333333	0.043076666666667
"cystine3"	"36"	"Ctrl"	12	3	0.32802	0	0.32802	0.32802	0	0.32802	0.32802	0	NA	NA	0
"proline1"	"37"	"ADI1x"	13	3	0.938376666666667	0.173029810244748	1.00206	0.938376666666667	0.101528448	0.74253	1.07054	0.32801	-0.31819266246549	-2.33333333333333	0.099898807522635
"proline2"	"38"	"ADI2x"	13	3	0.90657	0.029083748039068	0.89435	0.90657	0.012987576	0.88559	0.93977	0.05418	0.34599008445721	-2.33333333333333	0.016791509759399
"proline3"	"39"	"Ctrl"	13	3	1.01526	0.03700615759573	0.99794	1.01526	0.01163841	0.99009	1.05775	0.06766	0.365507129252579	-2.33333333333333	0.021365515049568
"dimethylarginineSDMA+ADMA1"	"40"	"ADI1x"	14	3	0.904293333333333	0.218353992483154	0.98709	0.904293333333333	0.12164733	0.65665	1.06914	0.41249	-0.324665582657598	-2.33333333333333	0.126066736338779
"dimethylarginineSDMA+ADMA2"	"41"	"ADI2x"	14	3	1.02008	0.058625145628817	1.04716	1.02008	0.019436886	0.95281	1.06027	0.10746	-0.363359308401802	-2.33333333333333	0.033847243610079
"dimethylarginineSDMA+ADMA3"	"42"	"Ctrl"	14	3	0.990903333333333	0.050313180512996	1.01523	0.990903333333333	0.01363992	0.93305	1.02443	0.09138	-0.370472564931201	-2.33333333333333	0.029048328312965
"Nacetylcitrulline1"	"43"	"ADI1x"	15	3	0.694786666666667	0.345243913970012	0.49546	0.694786666666667	0	0.49546	1.09344	0.59798	0.384900179459751	-2.33333333333333	0.199326666666667
"Nacetylcitrulline2"	"44"	"ADI2x"	15	3	0.904263333333333	0.104386750276715	0.84827	0.904263333333333	0.01252797	0.83982	1.0247	0.18488	0.382064699090471	-2.33333333333333	0.060267718372092
"Nacetylcitrulline3"	"45"	"Ctrl"	15	3	0.88199	0.080860313504215	0.83822	0.88199	0.008554602	0.83245	0.9753	0.14285	0.382696487241242	-2.33333333333333	0.046684723768416
"Ndeltaacetylornithine1"	"46"	"ADI1x"	16	3	0.813553333333333	0.192683147247841	0.9182	0.813553333333333	0.019377582	0.59119	0.93127	0.34008	-0.382908790512108	-2.33333333333333	0.111245666931846
"Ndeltaacetylornithine2"	"47"	"ADI2x"	16	3	1.11179	0.080002256843167	1.13688	1.11179	0.058355136	1.02225	1.17624	0.15399	-0.282770407402098	-2.33333333333333	0.04618932452418
"Ndeltaacetylornithine3"	"48"	"Ctrl"	16	3	1.07643	0.115254293195525	1.13699	1.07643	0.017479854	0.94352	1.14878	0.20526	-0.380373913419814	-2.33333333333333	0.066542097201696
"trans4hydroxyproline1"	"49"	"ADI1x"	17	3	1.16889333333333	0.17190948471022	1.26636	1.16889333333333	0.005278056	0.9704	1.26992	0.29952	-0.384714492436782	-2.33333333333333	0.099251987273695
"trans4hydroxyproline2"	"50"	"ADI2x"	17	3	1.05212	0.102198100275886	1.06	1.05212	0.13365639	0.94621	1.15015	0.20394	-0.076646745568996	-2.33333333333333	0.059004100704951
"trans4hydroxyproline3"	"51"	"Ctrl"	17	3	0.90972	0.028646027647826	0.90312	0.90972	0.026938842	0.88495	0.94109	0.05614	0.218168095554009	-2.33333333333333	0.016538791773686
"prohydroxypro1"	"52"	"ADI1x"	18	3	1.43649	0.866011845588731	1.28715	1.43649	0.937433154	0.65486	2.36746	1.7126	0.167317572743332	-2.33333333333333	0.499992172172058
"prohydroxypro2"	"53"	"ADI2x"	18	3	1.05436666666667	0.208615859016838	1.03074	1.05436666666667	0.255259242	0.85857	1.27379	0.41522	0.111801748294368	-2.33333333333333	0.120444422360597
