Biochem_No	Biochem	FoldChange	pvalue
1	glycine	1.03	0.9041000
2	N-acetylglycine	0.71	0.0013000
4	sarcosine	0.54	0.0081000
5	dimethylglycine	1.01	0.8243000
6	betaine	0.87	0.1606000
9	serine	0.94	0.3514000
10	N-acetylserine	1.07	0.3790000
16	threonine	0.92	0.2869000
17	N-acetylthreonine	1.12	0.3669000
28	alanine	0.98	0.8436000
30	N-acetylalanine	1.04	0.5945000
34	aspartate	1.19	0.6405000
35	N-acetylaspartate (NAA)	0.90	0.6072000
38	asparagine	0.99	0.8731000
39	N-acetylasparagine	1.06	0.7366000
40	hydroxyasparagine**	1.14	0.2975000
41	glutamate	1.58	0.1671000
42	glutamine	1.07	0.3973000
44	N-acetylglutamate	0.79	0.5865000
45	N-acetylglutamine	1.00	0.8868000
51	pyroglutamine*	0.77	0.0363000
52	N-acetyl-aspartyl-glutamate (NAAG)	9.73	0.0358000
53	beta-citrylglutamate	2.29	0.3092000
59	S-1-pyrroline-5-carboxylate	0.65	0.9446000
64	histidine	1.05	0.5489000
65	1-methylhistidine	0.86	0.1331000
66	3-methylhistidine	0.89	0.2496000
67	N-acetylhistidine	0.84	0.2216000
71	trans-urocanate	0.76	0.3437000
73	imidazole propionate	1.05	0.2728000
74	formiminoglutamate	1.02	0.7327000
75	imidazole lactate	1.31	0.2856000
76	carnosine	2.64	0.1805000
79	anserine	3.00	0.3960000
80	histamine	0.84	0.3723000
81	1-methylhistamine	1.04	0.9863000
82	1-methyl-4-imidazoleacetate	0.99	0.8814000
83	1-ribosyl-imidazoleacetate*	1.01	0.8999000
84	4-imidazoleacetate	0.96	0.7451000
90	lysine	1.04	0.6524000
92	N6-acetyllysine	0.93	0.5138000
97	"N6,N6,N6-trimethyllysine"	1.18	0.5421000
98	5-hydroxylysine	1.26	0.1055000
99	5-(galactosylhydroxy)-L-lysine	1.76	0.0224000
101	2-aminoadipate	1.04	0.4560000
103	2-oxoadipate	0.79	0.9757000
109	pipecolate	0.83	0.1499000
110	6-oxopiperidine-2-carboxylate	1.16	0.1455000
114	N-trimethyl 5-aminovalerate	0.97	0.6977000
115	phenylalanine	0.77	0.0012000
116	N-acetylphenylalanine	0.74	0.0016000
119	phenylpyruvate	0.68	0.2168000
120	phenyllactate (PLA)	0.72	0.0231000
131	tyrosine	0.91	0.5742000
132	N-acetyltyrosine	0.97	0.8963000
139	4-hydroxyphenylpyruvate	0.70	0.1394000
142	3-(4-hydroxyphenyl)lactate	1.03	0.6628000
146	Phenol sulfate	0.04	0.0002000
147	phenol glucuronide	0.36	0.0034000
176	2-hydroxyphenylacetate	0.82	0.1618000
177	homovanillate sulfate	1.52	0.1438000
181	p-cresol-glucuronide*	1.22	0.6236000
183	N-formylphenylalanine	0.76	0.7174000
199	thyroxine	1.27	0.3734000
203	tryptophan	0.82	0.1282000
204	N-acetyltryptophan	0.71	0.0275000
210	C-glycosyltryptophan	1.46	0.0054000
214	kynurenine	0.71	0.0073000
216	N-acetylkynurenine (2)	0.70	0.0759000
218	kynurenate	0.80	0.2265000
220	N-formylanthranilic acid	1.09	0.6883000
224	xanthurenate	0.66	0.2418000
226	picolinate	0.71	0.0111000
227	serotonin	0.72	0.0302000
230	5-hydroxyindoleacetate	1.04	0.9778000
234	indolelactate	0.80	0.0218000
235	indoleacetate	0.81	0.3360000
237	indolepropionate	0.22	0.0358000
242	indole-3-carboxylic acid	0.80	0.1026000
244	indoleacetylglycine	1.15	0.6436000
247	3-indoxyl sulfate	0.87	0.1352000
250	leucine	0.83	0.0428000
251	N-acetylleucine	0.97	0.8766000
253	4-methyl-2-oxopentanoate	1.13	0.5350000
256	alpha-hydroxyisocaproate	0.87	0.8769000
260	isovalerylglycine	0.76	0.1671000
267	3-methylcrotonylglycine	0.88	0.4569000
268	beta-hydroxyisovalerate	1.12	0.6314000
284	isoleucine	0.88	0.0738000
286	N-acetylisoleucine	0.95	0.5962000
287	3-methyl-2-oxovalerate	1.13	0.5031000
288	alpha-hydroxyisovalerate	0.76	0.2873000
291	2-methylbutyrylglycine	0.52	0.0141000
293	tigloylglycine	0.66	0.0382000
295	3-hydroxy-2-ethylpropionate	0.78	0.1322000
297	ethylmalonate	0.98	0.8968000
298	methylsuccinate	0.66	0.2621000
304	valine	0.87	0.0465000
305	N-acetylvaline	1.06	0.4818000
307	3-methyl-2-oxobutyrate	1.20	0.5020000
308	2-hydroxy-3-methylvalerate	0.70	0.3460000
310	isobutyrylcarnitine (C4)	0.55	0.2858000
311	isobutyrylglycine	0.58	0.1010000
316	methionine	0.97	0.6181000
317	N-acetylmethionine	1.06	0.4562000
318	N-formylmethionine	0.99	0.9492000
